,ATL,LAX,ORD,DFW,DEN,JFK,SFO,SEA,MCO,LAS,CLT,EWR,PHX,IAH,MIA,BOS,MSP,DTW,FLL,PHL,LGA,BWI,SLC,SAN,IAD,DCA,TPA,MDW,HNL,PDX,BNA,AUS,DAL,STL,SJC,HOU,RDU,MSY,OAK,SMF,MCI,SNA,RSW,SAT,CLE,IND,PIT,SJU,CVG,CMH
ATL,0.00030099239814704835,0.02004300271104048,0.03629840142095915,0.018388520145835283,0.01726301766850519,0.014506871085351033,0.011653220529120314,0.007000654389081051,0.00918014396559783,0.007987145928765075,0.009042161353650557,0.0075712816677573165,0.009427830232775545,0.009211601383565485,0.011942787697485278,0.007732635318313545,0.007161634103019539,0.006776479386743947,0.006706927175843694,0.006726231653734692,0.005755632420304759,0.004329110965691316,0.003597924651771525,0.00472693278489296,0.0049879872861549965,0.00378760400112181,0.0035732915770776853,0.00235206132560531,0.0004624193699167991,0.0022880246798167706,0.002919556885107974,0.002780499205384687,0.001508647284285314,0.002898008787510517,0.0010763765541740675,0.0019791530335608117,0.0029056277460970366,0.0028850144900439377,0.0,0.0012055716556043752,0.0021493876787884456,0.0009628867906889782,0.001884266616808451,0.0016428437879779376,0.0011414415256614005,0.00197045900719828,0.001529634476956156,0.0014864447976068056,0.0014383472001495746,0.0015537066467233805
LAX,0.022500000000000003,0.0023559805202518114,0.013373095260353369,0.010030101897728336,0.010985556698139666,0.011605496868280826,0.009063615967093578,0.005833878657567543,0.006885107974198374,0.010269187622697953,0.002260540338412639,0.0021632233336449473,0.006285220155183697,0.005117556324203047,0.003980929232495093,0.006766055903524352,0.005371225577264654,0.0016941198466859867,0.0025150976909413857,0.002242077217911564,0.0,0.0012368888473403758,0.0029982705431429377,0.0029543329905581004,0.0022168832382911097,0.002164345143498177,0.0005104702252968122,0.0009408245302421239,0.003236935589417594,0.0018304197438534168,0.0020853977750771246,0.001986070860989062,0.0,0.0014490043937552585,0.002152753108348135,0.0006597176778536039,0.001291390109376461,0.0028850144900439377,0.0009170795550154249,0.0018083574834065626,0.0005373469196971114,0.0,0.0,0.0004693839394222679,0.00022828830513228009,0.0008757595587547911,0.0008740768439749462,0.0,0.00020547817144993922,0.0007768533233616903
ORD,0.05,0.01202580162662429,1.8944649008195747e-05,0.006686734598485558,0.0062774609703655235,0.007253435542675516,0.006474011405066841,0.004667102926054033,0.004590071982798915,0.004564083387865758,0.0033908105076189588,0.0032448350004674205,0.0031426100775918484,0.004094045059362438,0.0029856969243713194,0.004832897073945967,0.004476021314387212,0.0033882396933719735,0.003353463587921847,0.002242077217911564,0.0035972702626904736,0.0018553332710105636,0.00239861643451435,0.00236346639244648,0.0005542208095727774,0.001623258857623633,0.0020418809011872488,0.0,0.0004624193699167991,0.0018304197438534168,0.0012512386650462746,0.0011916425165934374,0.0,0.0010867532953164438,0.0007175843694493784,0.0,0.0009685425820323456,0.004167243152285688,0.00030569318500514163,0.0003013929139010938,0.0008060203795456671,0.0007221650930167337,0.0009421333084042255,0.0007040759091334019,0.0006848649153968403,0.0006568196690660932,0.0006555576329812096,0.000849397027203889,0.0008219126857997569,0.0005826399925212677
DFW,0.025,0.01202580162662429,0.007641768720201926,0.004497645801164035,0.007846826212956903,0.00435206132560531,0.006474011405066841,0.0035003271945405253,0.003442553987099187,0.0034230625408993177,0.002260540338412639,0.0032448350004674205,0.0031426100775918484,0.003070533794521829,0.0019904646162475464,0.0038663176591567723,0.004476021314387212,0.0033882396933719735,0.0025150976909413857,0.002242077217911564,0.0028778162101523795,0.0018553332710105636,0.0017989623258857625,0.00236346639244648,0.0016626624287183322,0.0010821725717490886,0.0015314106758904365,0.0,0.0009248387398335982,0.0018304197438534168,0.0008341591100308498,0.0011916425165934374,0.0,0.0007245021968776292,0.0007175843694493784,0.0006597176778536039,0.0006456950546882305,0.0019233429933626248,0.00030569318500514163,0.0006027858278021876,0.0005373469196971114,0.0007221650930167337,0.0007065999813031691,0.0004693839394222679,0.0006848649153968403,0.00043787977937739553,0.0004370384219874731,0.0004246985136019445,0.0006164345143498176,0.00038842666168084514
DEN,0.027500000000000004,0.014030101897728338,0.007641768720201926,0.008358418248106946,0.000419037890485806,0.0029013742170702064,0.003884406843040105,0.005833878657567543,0.004590071982798915,0.005705104234832196,0.002260540338412639,0.0021632233336449473,0.007332756847714313,0.003070533794521829,0.0029856969243713194,0.0028997382443675794,0.005371225577264654,0.004235299616714967,0.003353463587921847,0.0029894362905487524,0.0028778162101523795,0.0018553332710105636,0.0029982705431429377,0.00236346639244648,0.0011084416191455549,0.0010821725717490886,0.0020418809011872488,0.0014112367953631859,0.0004624193699167991,0.0013728148078900626,0.0016683182200616996,0.0011916425165934374,0.0,0.0010867532953164438,0.0007175843694493784,0.0003298588389268019,0.00032284752734411523,0.0016027858278021875,0.00030569318500514163,0.0009041787417032813,0.0010746938393942228,0.0009628867906889782,0.00047106665420211275,0.0007040759091334019,0.00045657661026456017,0.0008757595587547911,0.0004370384219874731,0.0,0.0006164345143498176,0.0005826399925212677
JFK,0.0175,0.016034402168832382,0.00955221090025241,0.005015050948864168,0.0031387304851827618,0.005,0.009063615967093578,0.005833878657567543,0.004590071982798915,0.009128166775731516,0.004521080676825278,0.0,0.0041901467701224646,0.0,0.0029856969243713194,0.0038663176591567723,0.0017904085257548848,0.0008470599233429934,0.0016767317939609236,0.0007473590726371881,0.0,0.0018553332710105636,0.001199308217257175,0.003545199588669721,0.0016626624287183322,0.001623258857623633,0.0020418809011872488,0.0,0.0004624193699167991,0.0009152098719267084,0.0012512386650462746,0.0015888566887912498,0.0,0.0003622510984388146,0.0003587921847246892,0.0003298588389268019,0.001291390109376461,0.0035261288211648127,0.00030569318500514163,0.0003013929139010938,0.0,0.0,0.00023553332710105637,0.00023469196971113396,0.0006848649153968403,0.0006568196690660932,0.0006555576329812096,0.0010617462840048612,0.0006164345143498176,0.0005826399925212677
SFO,0.027500000000000004,0.014030101897728338,0.00955221090025241,0.008358418248106946,0.0062774609703655235,0.010154809759745724,0.0005196347547214634,0.007000654389081051,0.0022950359913994577,0.004564083387865758,0.002260540338412639,0.0021632233336449473,0.0041901467701224646,0.0010235112648406095,0.0029856969243713194,0.0028997382443675794,0.002685612788632327,0.0008470599233429934,0.0025150976909413857,0.0029894362905487524,0.0,0.0006184444236701879,0.001199308217257175,0.0017725997943348604,0.0011084416191455549,0.0010821725717490886,0.0,0.0009408245302421239,0.0023120968495839956,0.0018304197438534168,0.0,0.0011916425165934374,0.0,0.0003622510984388146,0.0,0.0,0.00032284752734411523,0.0003205571655604375,0.0,0.0003013929139010938,0.0002686734598485557,0.0004814433953444891,0.0,0.00023469196971113396,0.00022828830513228009,0.00021893988968869777,0.00021851921099373656,0.0,0.00020547817144993922,0.0
SEA,0.015,0.01002150135552024,0.007641768720201926,0.005015050948864168,0.009416191455548286,0.007253435542675516,0.006474011405066841,0.00043016094548046087,0.0022950359913994577,0.004564083387865758,0.002260540338412639,0.0032448350004674205,0.005237683462653081,0.004094045059362438,0.0019904646162475464,0.0028997382443675794,0.002685612788632327,0.0008470599233429934,0.0008383658969804618,0.002242077217911564,0.0,0.0012368888473403758,0.00239861643451435,0.00236346639244648,0.0005542208095727774,0.0005410862858745443,0.0,0.0009408245302421239,0.0023120968495839956,0.0009152098719267084,0.0,0.00039721417219781244,0.0,0.0007245021968776292,0.0010763765541740675,0.0,0.0,0.0,0.0012227727400205665,0.0012055716556043752,0.0005373469196971114,0.0004814433953444891,0.0,0.00023469196971113396,0.0,0.0,0.0,0.0,0.0,0.0
MCO,0.02,0.01202580162662429,0.007641768720201926,0.005015050948864168,0.0062774609703655235,0.005802748434140413,0.0025896045620267365,0.0023335514630270166,0.00016678465375935384,0.002282041693932879,0.004521080676825278,0.0021632233336449473,0.0041901467701224646,0.002047022529681219,0.0019904646162475464,0.0038663176591567723,0.0035808170515097696,0.0016941198466859867,0.0025150976909413857,0.0029894362905487524,0.0014389081050761897,0.0012368888473403758,0.0005996541086285875,0.00118173319622324,0.0005542208095727774,0.001623258857623633,0.0,0.0009408245302421239,0.0,0.0,0.0012512386650462746,0.0015888566887912498,0.0,0.0007245021968776292,0.0,0.0006597176778536039,0.0009685425820323456,0.000641114331120875,0.0,0.0,0.0005373469196971114,0.0,0.00047106665420211275,0.0007040759091334019,0.00022828830513228009,0.0006568196690660932,0.0006555576329812096,0.000849397027203889,0.00020547817144993922,0.00038842666168084514
LAS,0.0175,0.01803870243993643,0.007641768720201926,0.005015050948864168,0.007846826212956903,0.011605496868280826,0.005179209124053473,0.004667102926054033,0.0022950359913994577,0.0003769883596626678,0.002260540338412639,0.0010816116668224737,0.0041901467701224646,0.002047022529681219,0.0019904646162475464,0.0019331588295783862,0.002685612788632327,0.00254117977002898,0.0016767317939609236,0.0029894362905487524,0.0,0.0018553332710105636,0.0017989623258857625,0.0017725997943348604,0.0005542208095727774,0.0010821725717490886,0.0010209404505936244,0.0009408245302421239,0.0009248387398335982,0.0013728148078900626,0.0004170795550154249,0.0011916425165934374,0.0,0.0003622510984388146,0.0003587921847246892,0.0006597176778536039,0.0009685425820323456,0.0003205571655604375,0.0009170795550154249,0.0006027858278021876,0.0002686734598485557,0.0004814433953444891,0.0,0.0004693839394222679,0.00045657661026456017,0.00043787977937739553,0.00021851921099373656,0.0,0.00020547817144993922,0.00019421333084042257
